# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF18abarpse 294.943048  24.989795  60.488921   1.361857
ZTF18abasjwy 315.689882  40.650638  83.211601  -3.958307
ZTF18abasuza 299.327457  30.919431  67.562840   1.023305
ZTF18abasxgt 340.619789  55.414787 105.280905  -2.974640
ZTF18abaulyr 233.550762  59.808838  94.091084  47.179611
ZTF18abbctvx 294.012021  46.142004  78.887208  12.094107
ZTF18abbeuvc 295.169672  14.584943  51.531553  -3.945698
ZTF18abbghiz 194.041091  62.617803 121.996051  54.501857
ZTF18abbkoer 294.721531  21.444717  57.301859  -0.204448
ZTF18abblwnw 341.253670  56.525156 106.117726  -2.162312
ZTF18abblznz 302.988938  44.137124  80.316138   5.608212
ZTF18abboabk 354.684650  56.637502 113.019358  -4.828601
ZTF18abbprmq 272.186260  34.456631  61.100671  23.197437
ZTF18abbrlfq 308.642735  36.801897  76.754579  -2.109612
ZTF18abbtilo 284.435921  32.229563  62.781647  12.854175
ZTF18abbuhez 330.750920  55.129983 100.389981  -0.193057
ZTF18abbunai 328.832233  49.400828  95.969912  -4.026053
ZTF18abburnj 331.812238  52.361078  99.259769  -2.797660
ZTF18abbuvwb   2.914341  72.688964 119.940263  10.048684
ZTF18abcbqxj 322.317668  49.865598  93.081433  -0.914546
ZTF18abcbtam 308.437354  57.127206  93.116714  10.044547
ZTF18abcccnr 290.674838  52.733045  84.120198  16.834020
ZTF18abccqjx 340.919676  30.922223  93.033475 -24.430107
ZTF18abccukx 344.038795  52.618480 105.804582  -6.377034
ZTF18abccuzk   4.450181  62.581870 119.070565  -0.037424
ZTF18abccwds 343.131590  59.193077 108.219582  -0.239070
ZTF18abcdcfr 334.465386  52.702468 100.782953  -3.436323
ZTF18abcgndm 281.044444  -2.248053  30.103543   0.589045
ZTF18abchbfs 308.953743  44.757957  83.266566   2.469809
ZTF18abchdpe 308.108177  33.563504  73.886773  -3.682875
ZTF18abchfow 297.661867  21.281050  58.528605  -2.658255
ZTF18abchhat   5.861675  63.554266 119.821319   0.851699
ZTF18abciqza 287.052685   4.957787  39.256846  -1.456929
ZTF18abcjntk 316.771441  39.771543  83.106202  -5.159939
ZTF18abckpdh   9.277142  59.047697 121.086318  -3.772694
ZTF18abckxfb 267.340779  19.739698  44.507437  22.218122
